table_name,column_name,full_column_name,descriptions,data_type,char_len
MDOTW_VW_OCCURRENCE_PUBLIC,AccIncTypeDisplayEng,Accident/incident type (English),"The type of accident or incident, in English. ",varchar,513
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AccIncTypeDisplayEng,Accident/incident type (English),"The type of accident or incident, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AccIncTypeDisplayFre,Accident/incident type (French),"The type of accident or incident, in French. ",varchar,513
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AccIncTypeDisplayFre,Accident/incident type (French),"The type of accident or incident, in French. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AccIncTypeID,Accident/incident type identification number,A system-generated number for the purposes of database administration.,NULL,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AccIncTypeID,Accident/incident type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityCategoryDisplayEng,Activity category (English),"The category of activity (carriage of cargo or people, fishing, search and rescue, etc.) being undertaken on the occurrence voyage, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityCategoryDisplayFre,Activity category (French),"The category of activity (carriage of cargo or people, fishing, search and rescue, etc.) being undertaken on the occurrence voyage, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityCategoryID,Activity category identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityTypeDisplayEng,Activity type (English),"The subtype of activity being undertaken on the occurrence voyage, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityTypeDisplayFre,Activity type (French),"The subtype of activity being undertaken on the occurrence voyage, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityTypeID,Activity type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AirPollutionDisplayEng,Air pollution (English),"Indicates whether there was air pollution present at the time of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AirPollutionDisplayFre,Air pollution (French),"Indicates whether there was air pollution present at the time of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AirPollutionEnum,Air pollution enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,AirTemp_Celsius,Air temperature (Celsius),"The air temperature at the time of the occurrence, in degrees Celsius.",int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_LSA_EQUIPMENT_PUBLIC,ApprovedEnum,Approved enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_LSA_EQUIPMENT_PUBLIC,ApprovedEnumDisplayEng,Approved (English),"Indicates whether the vessel had approved life-saving equipment on board at the time of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_LSA_EQUIPMENT_PUBLIC,ApprovedEnumDisplayFre,Approved (French),"Indicates whether the vessel had approved life-saving equipment on board at the time of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AreaTypeDisplayEng,Area type (English),"The type of area where the occurrence took place, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AreaTypeDisplayFre,Area type (French),"The type of area where the occurrence took place, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AreaTypeID,Area type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,BearingDisplay,Bearing,The bearing of the distance between the occurrence location and the nearest geographical location.,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,BearingID,Bearing identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,BeaufortScaleDisplayEng,Beaufort scale (English),"The description of the wind speed at the time of the occurrence, according to the Beaufort scale, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,BeaufortScaleDisplayFre,Beaufort scale (French),"The description of the wind speed at the time of the occurrence, according to the Beaufort scale, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,BeaufortScaleID,Beaufort scale identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,BergyBitsEnum,Bergy bits enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,BergyBitsEnumDisplayEng,Bergy bits (English),"Indicates whether there were bergy bits at the occurrence location, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,BergyBitsEnumDisplayFre,Bergy bits (French),"Indicates whether there were bergy bits at the occurrence location, in French. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,CallSign,Call sign,The vessel's radio call sign (a unique combination of letters and numbers).,varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,CapsuleAudioFilesDelEnum,Capsule audio files deleted enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,CapsuleAudioFilesDelEnumDisplayEng,Capsule audio files deleted (English),"Indicates whether the files on the voice data recorder's float-free capsule were deleted, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,CapsuleAudioFilesDelEnumDisplayFre,Capsule audio files deleted (French),"Indicates whether the files on the voice data recorder's float-free capsule were deleted, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,CapsuleAudioFilesSegregatedEnum,Capsule audio files segregated enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,CapsuleAudioFilesSegregatedEnumDisplayEng,Capsule audio files segregated (English),"Indicates whether the audio files on the voice data recorder's float-free capsule were segregated, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,CapsuleAudioFilesSegregatedEnumDisplayFre,Capsule audio files segregated (French),"Indicates whether the audio files on the voice data recorder's float-free capsule were segregated, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,CapsuleRecCapacity_NumberOfDays,Capsule recording capacity in number of days,"The storage capacity of the voice data recorder's float-free capsule, in days.",numeric,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,CargoCategoryDisplayEng,Cargo category (English),"The category of cargo on board the vessel, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,CargoCategoryDisplayFre,Cargo category (French),"The category of cargo on board the vessel, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,CargoCategoryID,Cargo category identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,CargoProductTypeDisplayEng,Cargo product type (English),"The subtype of cargo on board the vessel, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,CargoProductTypeDisplayFre,Cargo product type (French),"The subtype of cargo on board the vessel, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,CargoProductTypeID,Cargo product type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ClassSocietyDisplayEng,Class society (English),"The name of the class society, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ClassSocietyDisplayFre,Class society (French),"The name of the class society, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ClassSocietyID,Class society identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,Course_Degrees,Course in degrees,"The vessel's course, in degrees.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,DamageIND,Damage indicator,A system-generated number for the purposes of database administration.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,DamageIND_DisplayEng,Damage (English),"Indicates whether there was any damage to the vessel, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,DamageIND_DisplayFre,Damage (French),"Indicates whether there was any damage to the vessel, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,DataExtractedEnum,Data extracted enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,DataExtractedEnumDisplayEng,Data extracted (English),"Indicates whether data were extracted from the vessel's video data recorder float-free device, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,DataExtractedEnumDisplayFre,Data extracted (French),"Indicates whether data were extracted from the vessel's video data recorder float-free device, in French. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureCountryDisplayEng,Departure country (English),"The country from which the vessel departed, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureCountryDisplayFre,Departure country (French),"The country from which the vessel departed, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureCountryID,Departure country,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureDate,Departure date,The date on which the vessel sailed from port. Date format is YYYY-MM-DD.,date,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureLocationTypeDisplayEng,Departure location type (English),"The type of location where the occurrence happened, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureLocationTypeDisplayFre,Departure location type (French),"The type of location where the occurrence happened, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureLocationTypeID,Departure location type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DeparturePortDisplayEng,Departure port (English),"The port from which the vessel departed, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DeparturePortDisplayFre,Departure port (French),"The port from which the vessel departed, in French. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DeparturePortID,Departure port identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureTime,Departure time,The time at which the vessel sailed from port. Time format is hh:mm (24-hour clock).,time,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureTimeZoneDisplayEng,Departure time zone (English),"The time zone of the time at which the vessel sailed from port, in English. The number in parentheses indicates the number of hours ahead of Universal Coordinated Time.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureTimeZoneDisplayFre,Departure time zone (French),"The time zone of the time at which the vessel sailed from port, in French. The number in parentheses indicates the number of hours ahead of Universal Coordinated Time.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DepartureTimeZoneID,Departure time zone identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,DeployedIND,Deployed indicator,A system-generated number for the purposes of database administration.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,DeployedIND_DisplayEng,Deployed (English),"Indicates whether the TSB deployed to the occurrence site, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,DeployedIND_DisplayFre,Deployed (French),"Indicates whether the TSB deployed to the occurrence site, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationCountryDisplayEng,Destination country (English),"The vessel's destination country, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationCountryDisplayFre,Destination country (French),"The vessel's destination country, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationCountryID,Destination country identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationDate,Destination date,The date on which the vessel was scheduled to arrive at the destination port. Date format is YYYY-MM-DD.,date,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationLocationTypeDisplayEng,Destination location type (English),"The type of location of the vessel's destination port, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationLocationTypeDisplayFre,Destination location type (French),"The type of location of the vessel's destination port, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationLocationTypeID,Destination location type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationPortDisplayEng,Destination port (English),"The vessel's destination port, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationPortDisplayFre,Destination port (French),"The vessel's destination port, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationPortID,Destination port identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationTime,Destination time,The time of day at which the vessel was scheduled to arrive at the destination port. Time format is hh:mm (24-hour clock).,time,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationTimeZoneDisplayEng,Destination time zone (English),"The time zone of the vessel's destination, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationTimeZoneDisplayFre,Destination time zone (French),"The time zone of the vessel's destination, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DestinationTimeZoneID,Destination time zone identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DraughtAft_Meters,Draught aft (metres),"The draft of the vessel aft, in metres.",numeric,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,DraughtFwd_Meters,Draught forward (metres),"The draft of the vessel forward, in metres.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,EntryDate,Entry date,The date on which the occurrence record was created in MARSIS. Date format is YYYY-MM-DD.,datetime,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,EnvironmentalConditionID,Environmental condition identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,EquipSeizedEnum,Equipment seized enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,EquipSeizedEnumDisplayEng,Equipment seized (English),"Indicates whether voyage data recorder equipment was seized by the TSB, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,EquipSeizedEnumDisplayFre,Equipment seized (French),"Indicates whether voyage data recorder equipment was seized by the TSB, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FatigueContFactorEnum,Fatigue contributing factor enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,FatigueContFactorEnum_DisplayEng,Fatigue contributing factor (English),"Indicates whether fatigue was a contributing factor in the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FatigueContFactorEnum_DisplayFre,Fatigue contributing factor (French),"Indicates whether fatigue was a contributing factor in the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FatigueInvestEnum,Fatigue investigated enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,FatigueInvestEnum_DisplayEng,Fatigue investigated (English),"Indicates whether the TSB investigated fatigue as part of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,FatigueInvestEnum_DisplayFre,Fatigue investigated (French),"Indicates whether the TSB investigated fatigue as part of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,FisheryTypeDisplayEng,Fishery type (English),"The type of fishery (e.g. dive, gill net, troll), in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,FisheryTypeDisplayFre,Fishery type (French),"The type of fishery (e.g. dive, gill net, troll), in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,FisheryTypeID,Fishery type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,GearTypeDisplayEng,Gear type (English),"The type of gear, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,GearTypeDisplayFre,Gear type (French),"The type of gear, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,GearTypeID,Gear type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,GrossTonnage,Gross tonnage,"The gross tonnage of the vessel involved in the occurrence. Gross tonnage is the volume capacity of the spaces within the hull and of the enclosed spaces above deck for cargo, fuel, passengers, and crew. ",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,GrowlersEnum,Growlers enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,GrowlersEnumDisplayEng,Growlers (English),"Indicates whether there were growlers in the area of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,GrowlersEnumDisplayFre,Growlers (French),"Indicates whether there were growlers in the area of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,HullMaterialDisplayEng,Hull material (English),"The material that the hull of the vessel involved in the occurrence is made out of, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,HullMaterialID,Hull material identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,HullMaterialTypeDisplayFre,Hull material type (English),"The material that the hull of the vessel involved in the occurrence is made out of, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,IcebergEnum,Iceberg enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,IcebergEnumDisplayEng,Iceberg (English),"Indicates whether an iceberg was present in the area of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,IcebergEnumDisplayFre,Iceberg (French),"Indicates whether an iceberg was present in the area of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,IceCoverage_ScaleOutOf1to10,Ice coverage scale out of 0 to 10,"The amount of ice covering the area at the time of the occurrence, on a scale of 0 (no ice) to 10.",smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,IICName,Investigator in charge name,The name of the TSB investigator-in-charge assigned to the occurrence.,varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,IMO,International Maritime Organization,The number assigned to the vessel by the International Maritime Organization.,varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ImoClass,International Maritime Organization class,"Indicates the IMO Classification of an occurrence, based on the IMO Code of International Standards and Recommended Practices for a Safety Investigation into a Marine Casualty or Marine Incident (Casualty Investigation Code). ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ImoClasslevelDisplayEng,International Maritime Organization class level (English),"The description of the IMO classification, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ImoClassLevelDisplayFre,International Maritime Organization class level (French),"The description of the IMO classification, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ImoClassLevelID,International Maritime Organization class level identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,IncludedInDailyEnum,Included in daily enumerated,A system-generated number for the purposes of database administration.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,IncludedInDailyEnumDisplayEng,Included in daily (English),"Indicates whether the occurrence is included in the TSB's daily notification log, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,IncludedInDailyEnumDisplayFre,Included in daily (French),"Indicates whether the occurrence is included in the TSB's daily notification log, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,InjuriesIND,Injuries indicator,A system-generated number for the purposes of database administration.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,InjuriesIND_DisplayEng,Injuries (English),"Indicates whether the occurrence resulted in any injuries, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,InjuriesIND_DisplayFre,Injuries (French),"Indicates whether the occurrence resulted in any injuries, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,InstructionAvailableEnum,Instruction available enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,InstructionAvailableEnumDisplayEng,Instruction available (English),"Indicates whether the instructions for the VDR equipment were available, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,InstructionAvailableEnumDisplayFre,Instruction available (French),"Indicates whether the instructions for the VDR equipment were available, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,InstructionsPostedEnum,Instructions posted enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,InstructionsPostedEnumDisplayEng,Instructions posted (English),"Indicates whether the instructions for the VDR equipment were posted, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,InstructionsPostedEnumDisplayFre,Instructions posted (French),"Indicates whether the instructions for the VDR equipment were posted, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LatEnum,Latitude enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,LatEnum_Bearing_DisplayEng,Latitude bearing (English),"Indicates whether the occurrence took place north or south of the equator (N = north; S = south), in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LatEnum_Bearing_DisplayFre,Latitude bearing (French),"Indicates whether the occurrence took place north or south of the equator (N = north; S = south), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,Latitude,Latitude,"The latitude at which the occurrence took place, in decimal degrees. A positive number indicates a latitude in the northern hemisphere; a negative number indicates a latitude in the southern hemisphere.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,Length_Meters,Length (metres),"The length of the vessel, in metres.",numeric,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,LengthTypeDisplayEng,Length type (English),"Indicates whether the vessel's length is its overall or registered length, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,LengthTypeDisplayFre,Length type (French),"Indicates whether the vessel's length is its overall or registered length, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,LengthTypeID,Length type identification number,A system-generated number for the purposes of database administration.,NULL,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,LightConditionDisplayEng,Light condition (English),"The light conditions at the time of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LightConditionDisplayFre,Light condition (French),"The light conditions at the time of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LightConditionID,Light condition identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,LongEnum,Longitude enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,LongEnum_Bearing_DisplayEng,Longitude bearing (English),"Indicates whether the occurrence took place east or west of the meridian (E = east; W = west), in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LongEnum_Bearing_DisplayFre,Longitude bearing (French),"Indicates whether the occurrence took place east or west of the meridian (E = east; O = west), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,Longitude,Longitude,"The longitude at which the occurrence took place, in decimal degrees.   A positive number indicates a longitude in the eastern hemisphere; a negative number indicates a longitude in the western hemisphere.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_LSA_EQUIPMENT_PUBLIC,LsApplianceDisplayEng,Life-saving appliance (English),"The life-saving appliance on board the occurrence vessel, in English. A life-saving appliance is any device that may be used to aid an individual or vessel in an occurrence.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_LSA_EQUIPMENT_PUBLIC,LsApplianceDisplayFre,Life-saving appliance (French),"The life-saving appliance on board the occurrence vessel, in French. A life-saving appliance is any device that may be used to aid an individual or vessel in an occurrence.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_LSA_EQUIPMENT_PUBLIC,LsApplianceID,Life-saving appliance identification number,A system-generated number for the purposes of database administration.,int,NULL
